id,value
nfd::fw::ClientControlStrategy,0.00392183218017
nfd::rib::NfdRibReadvertiseDestination,0.00392183218017
nfd::Nfd,0.00392183218017
nfd::pit::FaceRecord,0.00392183218017
nfd::face::TcpTransport,0.00392183218017
nfd::tools::nfdc::LegacyNfdc,0.00392183218017
nfd::Logger,0.00392183218017
nfd::fib::NextHop,0.00392183218017
ndn::tools::autoconfig::BaseDns::Error,0.00392183218017
nfd::fw::NfdAutoMulticastStrategyStrategyRegistrationClass,0.00392183218017
nfd::fw::NfdAutoNccStrategyStrategyRegistrationClass,0.00392183218017
nfd::face::LinkServiceCounters,0.00487429432584
nfd::face::FaceSystem::ConfigContext,0.00392183218017
nfd::fw::asf::AsfMeasurements,0.00392183218017
nfd::UnixStreamChannel,0.00392183218017
ndn::tools::autoconfig::GuessFromIdentityName,0.00392183218017
nfd::face::UnixStreamFactory,0.00392183218017
nfd::face::NfdAutoUdpFactoryProtocolFactoryRegistrationClass,0.00392183218017
nfd::tools::nfdc::CommandParser,0.00392183218017
nfd::FaceManager,0.00425519393116
ndn::NdnAutoconfigServer,0.00392183218017
nfd::fw::DropAllUnsolicitedDataPolicy,0.00392183218017
ndn::tools::autoconfig::GuessFromSearchDomains,0.00392183218017
ndn::tools::autoconfig::Url,0.00392183218017
nfd::NetworkInterfacePredicate,0.00392183218017
nfd::strategy_choice::StrategyChoice,0.00392183218017
nfd::face::InternalTransportBase,0.00392183218017
nfd::rib::AutoPrefixPropagator::Error,0.00392183218017
nfd::face::GenericLinkService::Options,0.00392183218017
nfd::fw::BestRouteStrategyBase,0.00392183218017
ndn::PrefixCollection,0.00392183218017
nfd::fib::Entry,0.00408851305567
nfd::ForwarderStatusManager,0.00392183218017
nfd::face::TcpFactory,0.00392183218017
nfd::NetworkRegionTable,0.00392183218017
ndn::nfd_autoreg::AutoregServer,0.00392183218017
ndn::tools::autoconfig::NdnAutoconfig,0.00392183218017
nfd::fw::NfdAutoBestRouteStrategyStrategyRegistrationClass,0.00392183218017
nfd::measurements::Measurements,0.00535052539867
nfd::ByteCounter,0.00392183218017
nfd::cs::Policy,0.00725544969
nfd::tools::nfdc::Module,0.00392183218017
nfd::fw::NccStrategy::PitEntryInfo,0.00392183218017
nfd::FibManager,0.00392183218017
nfd::measurements::MeasurementsAccessor,0.0058267564715
nfd::ConfigFile::Error,0.00392183218017
nfd::FaceTable,0.00392183218017
